Model,Accuracy,F1-Score,Recall,AUC
Neural Network,0.9841473262877005,0.1615598885793872,0.8877551020408163,0.9783553562815109
Random Forest,0.9661528738457217,0.08712121212121213,0.9387755102040817,0.9704753841604171
Gradient Boosting,0.9560408693514975,0.06845238095238096,0.9387755102040817,0.9760829275435554
Logistic Regression,0.9771602120712054,0.12035158891142664,0.9081632653061225,0.9747512503876058
