Model,Accuracy,F1-Score,Recall,AUC
Neural Network,0.9970682209192093,0.5073746312684366,0.8775510204081632,0.9636005851412033
Random Forest,0.9993504441557529,0.8246445497630331,0.8877551020408163,0.9683501020695279
Gradient Boosting,0.9833046592465152,0.15915119363395225,0.9183673469387755,0.9811077163701721
Logistic Regression,0.9737017660896738,0.10620525059665871,0.9081632653061225,0.9761972353657277
