Model,Accuracy,F1-Score,Recall,AUC
Neural Network,0.998156665847407,0.6209386281588448,0.8775510204081632,0.9594407314839273
Random Forest,0.9995786664794073,0.8636363636363636,0.7755102040816326,0.9579380412125458
Gradient Boosting,0.9917488852217268,0.27692307692307694,0.9183673469387755,0.9769101788154766
Logistic Regression,0.9767388785506127,0.11842980705256155,0.9081632653061225,0.977464491001803
